x1,y1,z1,x2,y2,z2
-19.9921,-0.558615,-112.277,-20.1926,-0.550407,-113.392
-34.4119,-6.38869,-111.794,-34.6046,-6.44758,-112.426
-49.1141,-9.36997,-112.269,-49.3055,-9.4334,-112.721
-49.315,-8.2491,-116.059,-49.5087,-8.30368,-116.529
-109.895,-4.79938,-114.746,-110.299,-4.72402,-116.048
-84.763,-6.34415,-103.035,-85.1712,-6.24805,-103.535
-18.814,-6.78574,-98.1438,-18.9981,-6.86421,-99.0982
-19.1386,-5.80609,-90.8598,-19.3264,-5.87684,-91.7896
-33.974,-8.41114,-95.4228,-34.1626,-8.4817,-95.9672
-34.7586,-4.10268,-94.0661,-34.9603,-4.09953,-94.6137
-34.6951,-4.6135,-80.9003,-34.8907,-4.65595,-81.3675
-69.4121,-9.05303,-84.4736,-69.8217,-9.0032,-84.9647
-69.7291,-6.15186,-86.9908,-70.1194,-6.27711,-87.4969
-19.4797,-4.53224,-72.1789,-19.6772,-4.56613,-71.394
-19.4639,-4.59916,-74.8539,-19.6574,-4.65058,-72.947
-34.6124,-5.19498,-78.4316,-34.8073,-5.24303,-78.8816
-34.9546,-1.78462,-73.022,-35.1528,-1.8208,-73.4437
-19.8116,-2.73872,-67.7214,-20.008,-2.77713,-65.2087
-19.8114,-2.73837,-64.5803,-20.008,-2.77713,-65.2087
-49.9854,-1.20889,-61.8444,-50.1845,-1.24554,-62.0944
-69.8725,-4.22294,-67.7476,-70.2681,-4.30603,-67.399
-18.0476,-8.61875,-51.5523,-18.2275,-8.70622,-53.8208
-19.6314,-3.82308,-54.6986,-19.8247,-3.875,-55.2397
-19.0806,-5.9943,-50.01,-19.2678,-6.06668,-50.5229
-18.0419,-8.63088,-53.2928,-18.2275,-8.70622,-53.8208
-34.8736,-2.97115,-57.8776,-35.0717,-3.00213,-50.7084
-69.9399,-2.89822,-51.002,-70.3432,-2.82088,-51.3024
-109.996,-0.943776,-58.3383,-110.394,-1.11686,-58.5617
-19.9486,-1.43446,-42.695,-20.1477,-1.45108,-46.0288
-19.74,-3.21493,-47.147,-19.9373,-3.24709,-44.937
-19.9853,-0.766362,-48.9929,-20.1849,-0.7799,-45.9792
-19.8815,-2.17581,-44.7147,-20.0789,-2.2084,-45.163
-19.8815,-2.17581,-44.7147,-20.0816,-2.18274,-44.8906
-19.9999,-0.00705721,-41.4868,-20.1999,-0.0186142,-41.9059
-19.9111,-1.88023,-45.8133,-20.1092,-1.91073,-46.2809
-19.9111,-1.88023,-45.8133,-20.1096,-1.90955,-43.4476
-34.6813,-4.71235,-41.4669,-34.8818,-4.72267,-47.1538
-49.6563,-5.8523,-42.607,-49.858,-5.85075,-49.7896
-18.9784,-6.30966,-32.0354,-19.1651,-6.38307,-32.3483
-17.7539,-9.20866,-37.5935,-17.9339,-9.29567,-32.2386
-19.9703,-1.08952,-32.4321,-20.1692,-1.11558,-31.2725
-34.4962,-5.91684,-31.6847,-34.6926,-5.95542,-30.6208
-34.9371,-2.09811,-32.956,-35.1368,-2.11004,-38.4866
-34.9305,-2.20437,-38.2442,-35.1314,-2.1962,-33.1569
-49.7123,-5.35799,-36.0842,-49.9144,-5.34695,-36.2322
-49.579,-6.4749,-33.2233,-49.7757,-6.51295,-37.4663
-49.8214,-4.22172,-31.0464,-50.0232,-4.20831,-33.6584
-49.8295,-4.12674,-33.5177,-50.0287,-4.14278,-31.1801
-69.7245,-6.20533,-36.5071,-70.1157,-6.32073,-30.8724
-69.6837,-6.64732,-30.6568,-70.0871,-6.63001,-30.6119
-19.945,-1.48271,-20.308,-20.1439,-1.50431,-26.3982
-18.3521,-7.94956,-29.1569,-18.5412,-8.01656,-25.3894
-18.3521,-7.94956,-29.1569,-18.5402,-8.01887,-29.2643
-19.224,-5.51717,-22.5976,-19.4193,-5.56153,-21.158
-19.061,-6.05648,-24.1197,-19.256,-6.10372,-24.3583
-19.9627,-1.22402,-20.2383,-20.163,-1.22167,-25.0501
-18.539,-7.5037,-20.095,-18.7297,-7.5657,-23.9043
-34.5776,-5.41985,-25.0077,-34.7789,-5.42893,-25.1551
-34.9814,-1.14057,-21.6935,-35.1815,-1.14278,-27.55
-34.9816,-1.13677,-25.9265,-35.1815,-1.14278,-27.55
-49.8465,-3.91519,-21.7215,-50.0439,-3.95598,-21.8054
-49.8567,-3.78278,-21.7027,-50.0558,-3.80271,-21.8189
-69.716,-6.30146,-28.8249,-70.1176,-6.2991,-29.0663
-109.996,-0.959548,-25.3214,-110.396,-0.941605,-23.4853
-19.5756,-4.09797,-10.9758,-19.7745,-4.12422,-15.1927
-19.5889,-4.03446,-11.9982,-19.7855,-4.07102,-14.7595
-19.598,-3.9884,-13.9949,-19.7962,-4.01716,-14.1414
-19.196,-5.61382,-12.118,-19.3846,-5.68138,-15.408
-19.5667,-4.14035,-15.0375,-19.7611,-4.18784,-11.0923
-19.2575,-5.39913,-12.2705,-19.4535,-5.44088,-13.7011
-17.8678,-8.98566,-14.588,-18.04,-9.08842,-16.3448
-19.5655,-4.14622,-16.991,-19.7611,-4.18784,-11.0923
-19.5512,-4.21337,-13.2812,-19.7446,-4.26475,-12.9369
-17.8815,-8.95837,-16.1763,-18.0594,-9.04969,-14.7359
-34.7076,-4.51394,-12.6148,-34.905,-4.54827,-17.1265
-34.9795,-1.19599,-16.6344,-35.1788,-1.22532,-16.0209
-34.9643,-1.58215,-15.243,-35.1634,-1.60592,-14.8173
-34.6954,-4.60699,-17.0241,-34.894,-4.631,-17.6796
-34.9929,-0.711952,-10.2337,-35.1929,-0.691147,-10.2935
-49.9201,-2.82479,-11.8983,-50.1178,-2.86944,-11.9458
-49.9201,-2.82479,-11.8983,-50.1198,-2.83738,-10.7812
-69.4691,-8.60412,-16.6833,-69.8544,-8.74686,-16.7797
-109.929,-3.93445,-16.3193,-110.335,-3.80046,-16.3821
