trkid,layer,det_id,x,y,z
0,0,20311,4.439078535508305,19.70624405737916,-0.35684256176653606
0,0,20310,4.333284341002983,19.524962632232988,-0.3547458052476803
0,1,41921,15.666300374976611,31.52157754335104,-0.5210895210614774
0,1,41920,15.473497188564316,31.393755003768433,-0.5187786645596111
0,2,46731,33.49462943070354,37.391791736055445,-0.7107913433216344
0,2,46730,33.21265149145738,37.37545427488838,-0.7079697660661479
0,3,56341,68.82548454757293,14.805795113059258,-1.1580397935557252
0,3,56340,67.94763748369488,16.826083434857637,-1.1360315990550738
1,0,5711,-7.4258623231493,-18.78556243596071,-20.583277201878772
1,0,5710,-7.296506930588283,-18.62158456474998,-20.374030011846802
1,1,8021,-20.170454324224195,-28.847663942649437,-36.99783440385927
1,1,8020,-19.961724360738465,-28.749407334840722,-36.76670401367481
1,2,7831,-38.68903669565877,-31.98745595537643,-56.04414923391453
1,2,7830,-38.406350917282786,-32.014901386954634,-55.75960433740727
1,3,141,-70.39798577900294,0.5323813094672496,-105.45617516341547
1,3,140,-69.93081726498235,-3.1115446644814533,-101.77392328201195
2,0,2111,-18.053162279199913,-9.062232960637438,100.93356458704577
2,0,2110,-17.85358707630388,-9.013789412024245,99.90159331302128
3,0,1111,-19.223168168006353,-6.205540134368974,-2.029000799980627
3,0,1110,-19.048328721211686,-6.095843271664677,-2.005159425612602
3,1,5921,-30.63227343399364,-17.34075913406406,-3.8841214339605226
3,1,5920,-30.507664672696418,-17.154758044150878,-3.8582609310011056
3,2,8331,-36.785345816878156,-34.159560662136585,-5.972195533024805
3,2,8330,-36.754516234320384,-33.89850024646192,-5.9418311897272
3,3,20341,-25.905156805464355,-65.46057179526645,-9.931418494281097
3,3,20340,-26.59241710826542,-64.7521784964332,-9.817409509470483
4,0,15511,19.937484905665837,3.2457473242798827,-1.1273041455994466
4,0,15510,19.74649407191955,3.1739232539214726,-1.1124112882794885
4,1,32321,33.551908797391356,10.644414306938216,-2.2617336269010035
4,1,32320,33.38167240619052,10.519704658839764,-2.2463314135026
4,2,41931,45.116759091673714,22.011970507794345,-3.449327094180931
4,2,41930,44.980724477528035,21.83423517022164,-3.4329912756231167
4,3,63541,55.28784685340183,43.58233311361754,-5.202859903645146
4,3,63540,55.16919954350499,43.08546346864024,-5.165575440382259
4,4,80351,56.27082540587063,64.23974733229464,-6.720676975357311
4,4,80350,56.34923306454789,63.63766101211265,-6.676361562040424
4,5,118661,25.656609051644168,107.37737617305896,-10.735327209676328
4,5,118660,27.121229684156805,106.60414624192202,-10.614442797677198
5,0,8711,5.0153713484947104,-19.567445379694245,32.73642959667343
5,0,8710,4.999685191021335,-19.364969850629087,32.41128460218098
5,1,16121,4.035777264003478,-34.96785205449083,57.522839412580694
5,1,16120,4.077698428087956,-34.76173725692122,57.18608281446251
5,2,18831,-1.4881605794841448,-50.17792384859574,83.5232330070473
5,2,18830,-1.3825326147383308,-49.980928472983614,83.16535441816491
6,0,28311,-19.144104653370647,6.445342562371529,77.30508769141396
